/フレーム,移動パターン,敵の種類,x座標,y座標,敵の速度,敵の体力,待機時間,発射時間,弾幕種類,弾の色,アイテム
/frame,pattern,kind,x,y,v,hp,wait,bt,bkind,color,item
100,1,5,80,-20,2,1000,150,100,0,0,2
200,1,5,160,-20,2,1000,150,100,0,0,2
300,1,5,240,-20,2,1000,150,100,0,0,2
400,1,5,320,-20,2,1000,150,100,0,0,2
500,1,5,400,-20,2,1000,150,100,0,0,2
600,1,5,480,-20,2,1000,150,100,0,0,2
700,1,5,240,-20,2,1000,150,100,0,0,2
900,1,5,160,-20,2,1000,150,100,0,0,2
900,1,5,320,-20,2,1000,150,100,0,0,2
1000,1,5,120,-20,2,1000,150,100,0,0,2
1000,1,5,240,-20,2,1000,150,100,0,0,2
1000,1,5,360,-20,2,1000,150,100,0,0,2
1100,1,5,200,-20,2,1000,200,100,0,0,2
1100,1,5,280,-20,2,1000,200,100,0,0,2
1300,1,5,240,-20,2,1000,200,100,0,0,2
1300,1,5,320,-20,2,1000,200,100,0,0,2
1500,1,5,160,-20,2,1000,200,100,0,0,2
